inst#,actual,predicted,error,prediction
466,1:?,3:neutral,,0.615
467,1:?,3:neutral,,0.556
468,1:?,3:neutral,,0.556
469,1:?,3:neutral,,0.522
470,1:?,2:negative,,0.683
471,1:?,3:neutral,,0.612
472,1:?,2:negative,,0.484
473,1:?,1:positive,,0.989
474,1:?,3:neutral,,0.57
475,1:?,3:neutral,,0.612
476,1:?,3:neutral,,0.557
477,1:?,2:negative,,0.723
478,1:?,1:positive,,0.881
479,1:?,3:neutral,,0.556
480,1:?,3:neutral,,0.558
481,1:?,3:neutral,,0.591
482,1:?,3:neutral,,0.614
483,1:?,3:neutral,,0.556
484,1:?,3:neutral,,0.559
485,1:?,1:positive,,0.833
486,1:?,3:neutral,,0.558
487,1:?,3:neutral,,0.569
488,1:?,3:neutral,,0.521
489,1:?,3:neutral,,0.627
490,1:?,1:positive,,0.705
491,1:?,3:neutral,,0.603
492,1:?,3:neutral,,0.556
493,1:?,3:neutral,,0.572
494,1:?,2:negative,,0.57
495,1:?,3:neutral,,0.569
496,1:?,2:negative,,0.487
497,1:?,2:negative,,0.875
498,1:?,3:neutral,,0.556
499,1:?,3:neutral,,0.571
500,1:?,3:neutral,,0.569
501,1:?,3:neutral,,0.415
502,1:?,1:positive,,0.997
503,1:?,3:neutral,,0.556
504,1:?,2:negative,,0.768
505,1:?,3:neutral,,0.613
506,1:?,3:neutral,,0.556
507,1:?,3:neutral,,0.557
508,1:?,3:neutral,,0.556
509,1:?,3:neutral,,0.569
510,1:?,2:negative,,0.486
511,1:?,1:positive,,0.699
512,1:?,3:neutral,,0.567
513,1:?,3:neutral,,0.556
514,1:?,3:neutral,,0.556
515,1:?,1:positive,,1
516,1:?,2:negative,,0.837
517,1:?,3:neutral,,0.572
518,1:?,2:negative,,0.839
519,1:?,1:positive,,0.706
520,1:?,2:negative,,0.864
521,1:?,3:neutral,,0.569
522,1:?,3:neutral,,0.567
523,1:?,3:neutral,,0.561
524,1:?,2:negative,,0.492
525,1:?,1:positive,,0.775
526,1:?,3:neutral,,0.567
527,1:?,3:neutral,,0.527
528,1:?,3:neutral,,0.569
529,1:?,3:neutral,,0.567
530,1:?,3:neutral,,0.558
531,1:?,3:neutral,,0.517
532,1:?,3:neutral,,0.559
533,1:?,3:neutral,,0.556
534,1:?,1:positive,,0.972
535,1:?,1:positive,,0.894
536,1:?,1:positive,,0.88
537,1:?,3:neutral,,0.604
538,1:?,3:neutral,,0.521
539,1:?,1:positive,,0.588
540,1:?,2:negative,,0.388
541,1:?,3:neutral,,0.613
542,1:?,1:positive,,0.658
543,1:?,3:neutral,,0.567
544,1:?,3:neutral,,0.569
545,1:?,3:neutral,,0.556
546,1:?,3:neutral,,0.569
547,1:?,1:positive,,0.934
548,1:?,3:neutral,,0.556
549,1:?,3:neutral,,0.589
550,1:?,3:neutral,,0.612
551,1:?,3:neutral,,0.557
552,1:?,1:positive,,1
553,1:?,1:positive,,0.706
554,1:?,3:neutral,,0.567
555,1:?,3:neutral,,0.584
556,1:?,2:negative,,0.536
557,1:?,3:neutral,,0.556
558,1:?,3:neutral,,0.569
559,1:?,1:positive,,0.692
560,1:?,3:neutral,,0.567
561,1:?,3:neutral,,0.626
562,1:?,3:neutral,,0.42
563,1:?,3:neutral,,0.556
564,1:?,3:neutral,,0.612
565,1:?,1:positive,,0.869
566,1:?,3:neutral,,0.569
567,1:?,1:positive,,0.88
568,1:?,1:positive,,0.903
569,1:?,3:neutral,,0.558
570,1:?,3:neutral,,0.556
571,1:?,3:neutral,,0.556
572,1:?,3:neutral,,0.572
573,1:?,3:neutral,,0.556
574,1:?,3:neutral,,0.611
575,1:?,3:neutral,,0.557
576,1:?,3:neutral,,0.558
577,1:?,3:neutral,,0.567
578,1:?,3:neutral,,0.613
579,1:?,3:neutral,,0.556
580,1:?,3:neutral,,0.569
581,1:?,3:neutral,,0.557
582,1:?,3:neutral,,0.56
583,1:?,1:positive,,0.905
584,1:?,3:neutral,,0.509
585,1:?,3:neutral,,0.572
586,1:?,1:positive,,0.633
587,1:?,3:neutral,,0.587
588,1:?,3:neutral,,0.479
589,1:?,3:neutral,,0.572
590,1:?,3:neutral,,0.572
591,1:?,3:neutral,,0.556
592,1:?,3:neutral,,0.613
593,1:?,2:negative,,0.485
594,1:?,3:neutral,,0.571
595,1:?,3:neutral,,0.612
596,1:?,3:neutral,,0.606
597,1:?,3:neutral,,0.558
598,1:?,1:positive,,0.754
599,1:?,3:neutral,,0.567
600,1:?,3:neutral,,0.556
601,1:?,3:neutral,,0.557
602,1:?,2:negative,,0.657
603,1:?,1:positive,,0.712
604,1:?,3:neutral,,0.553
605,1:?,3:neutral,,0.567
606,1:?,3:neutral,,0.556
607,1:?,3:neutral,,0.556
608,1:?,3:neutral,,0.612
609,1:?,2:negative,,0.842
610,1:?,3:neutral,,0.569
611,1:?,3:neutral,,0.607
612,1:?,3:neutral,,0.569
613,1:?,3:neutral,,0.612
614,1:?,3:neutral,,0.556
615,1:?,1:positive,,1
616,1:?,3:neutral,,0.569
617,1:?,3:neutral,,0.572
618,1:?,3:neutral,,0.569
619,1:?,3:neutral,,0.569
620,1:?,1:positive,,0.711
621,1:?,3:neutral,,0.557
622,1:?,3:neutral,,0.569
623,1:?,3:neutral,,0.556
624,1:?,3:neutral,,0.556
625,1:?,3:neutral,,0.556
626,1:?,2:negative,,0.589
627,1:?,3:neutral,,0.567
628,1:?,3:neutral,,0.558
629,1:?,3:neutral,,0.612
630,1:?,3:neutral,,0.557
631,1:?,3:neutral,,0.615
632,1:?,2:negative,,0.585
633,1:?,3:neutral,,0.556
634,1:?,3:neutral,,0.612
635,1:?,3:neutral,,0.562
636,1:?,3:neutral,,0.556
637,1:?,1:positive,,0.691
638,1:?,3:neutral,,0.615
639,1:?,1:positive,,0.689
640,1:?,3:neutral,,0.556
641,1:?,1:positive,,1
642,1:?,3:neutral,,0.569
643,1:?,3:neutral,,0.567
644,1:?,3:neutral,,0.556
645,1:?,3:neutral,,0.572
646,1:?,3:neutral,,0.556
647,1:?,3:neutral,,0.557
648,1:?,3:neutral,,0.615
649,1:?,2:negative,,0.581
650,1:?,1:positive,,0.705
651,1:?,3:neutral,,0.613
652,1:?,3:neutral,,0.556
653,1:?,3:neutral,,0.557
654,1:?,2:negative,,0.741
655,1:?,3:neutral,,0.534
656,1:?,3:neutral,,0.571
657,1:?,1:positive,,0.693
658,1:?,1:positive,,0.479
659,1:?,2:negative,,0.872
660,1:?,3:neutral,,0.623
661,1:?,1:positive,,0.651
662,1:?,3:neutral,,0.558
663,1:?,3:neutral,,0.548
664,1:?,1:positive,,0.925
665,1:?,3:neutral,,0.569
666,1:?,1:positive,,0.705
667,1:?,1:positive,,0.912
668,1:?,3:neutral,,0.559
669,1:?,3:neutral,,0.556
670,1:?,1:positive,,0.828
671,1:?,3:neutral,,0.556
672,1:?,3:neutral,,0.556
673,1:?,3:neutral,,0.521
674,1:?,1:positive,,0.444
675,1:?,3:neutral,,0.556
676,1:?,1:positive,,1
677,1:?,3:neutral,,0.419
678,1:?,3:neutral,,0.556
679,1:?,3:neutral,,0.558
680,1:?,3:neutral,,0.557
681,1:?,1:positive,,0.708
682,1:?,3:neutral,,0.57
683,1:?,1:positive,,0.957
684,1:?,3:neutral,,0.628
685,1:?,2:negative,,0.873
686,1:?,3:neutral,,0.556
687,1:?,3:neutral,,0.558
688,1:?,3:neutral,,0.557
689,1:?,3:neutral,,0.571
690,1:?,3:neutral,,0.55
691,1:?,1:positive,,0.498
692,1:?,3:neutral,,0.571
693,1:?,3:neutral,,0.556
694,1:?,2:negative,,0.713
695,1:?,3:neutral,,0.569
696,1:?,3:neutral,,0.613
697,1:?,3:neutral,,0.569
698,1:?,3:neutral,,0.557
699,1:?,2:negative,,0.518
700,1:?,3:neutral,,0.385
701,1:?,3:neutral,,0.569
702,1:?,3:neutral,,0.556
703,1:?,3:neutral,,0.558
704,1:?,2:negative,,0.487
705,1:?,3:neutral,,0.386
706,1:?,3:neutral,,0.556
707,1:?,1:positive,,0.88
708,1:?,3:neutral,,0.569
709,1:?,3:neutral,,0.595
710,1:?,3:neutral,,0.569
711,1:?,1:positive,,0.683
712,1:?,3:neutral,,0.569
713,1:?,3:neutral,,0.569
714,1:?,3:neutral,,0.556
715,1:?,3:neutral,,0.556
716,1:?,3:neutral,,0.572
717,1:?,3:neutral,,0.567
718,1:?,3:neutral,,0.601
719,1:?,3:neutral,,0.569
720,1:?,3:neutral,,0.572
721,1:?,3:neutral,,0.605
722,1:?,3:neutral,,0.571
723,1:?,3:neutral,,0.567
724,1:?,3:neutral,,0.567
725,1:?,1:positive,,0.459
726,1:?,3:neutral,,0.556
727,1:?,3:neutral,,0.556
728,1:?,3:neutral,,0.569
729,1:?,3:neutral,,0.588
730,1:?,1:positive,,0.755
731,1:?,1:positive,,0.545
732,1:?,2:negative,,0.521
733,1:?,3:neutral,,0.569
734,1:?,3:neutral,,0.624
735,1:?,3:neutral,,0.556
736,1:?,3:neutral,,0.557
737,1:?,1:positive,,0.784
738,1:?,3:neutral,,0.613
739,1:?,1:positive,,0.676
740,1:?,1:positive,,0.59
741,1:?,3:neutral,,0.557
742,1:?,2:negative,,0.486
743,1:?,3:neutral,,0.495
744,1:?,2:negative,,0.486
745,1:?,3:neutral,,0.562
746,1:?,3:neutral,,0.572
747,1:?,3:neutral,,0.567
748,1:?,3:neutral,,0.556
749,1:?,3:neutral,,0.605
750,1:?,2:negative,,0.486
751,1:?,3:neutral,,0.556
752,1:?,3:neutral,,0.612
753,1:?,2:negative,,0.565
754,1:?,1:positive,,1
755,1:?,3:neutral,,0.558
756,1:?,3:neutral,,0.615
757,1:?,3:neutral,,0.626
758,1:?,3:neutral,,0.556
759,1:?,3:neutral,,0.556
760,1:?,3:neutral,,0.612
761,1:?,3:neutral,,0.604
762,1:?,3:neutral,,0.556
763,1:?,2:negative,,0.518
764,1:?,1:positive,,0.363
765,1:?,3:neutral,,0.543
766,1:?,1:positive,,0.457
767,1:?,3:neutral,,0.556
768,1:?,1:positive,,0.712
769,1:?,2:negative,,0.486
770,1:?,3:neutral,,0.628
771,1:?,1:positive,,0.985
772,1:?,3:neutral,,0.567
773,1:?,3:neutral,,0.572
774,1:?,3:neutral,,0.556
775,1:?,3:neutral,,0.557
776,1:?,3:neutral,,0.569
777,1:?,3:neutral,,0.571
778,1:?,3:neutral,,0.63
779,1:?,3:neutral,,0.587
780,1:?,3:neutral,,0.611
781,1:?,3:neutral,,0.556
782,1:?,2:negative,,0.873
783,1:?,1:positive,,0.868
784,1:?,3:neutral,,0.556
785,1:?,3:neutral,,0.472
786,1:?,1:positive,,0.692
787,1:?,3:neutral,,0.556
788,1:?,3:neutral,,0.569
789,1:?,3:neutral,,0.514
790,1:?,3:neutral,,0.569
791,1:?,3:neutral,,0.556
792,1:?,3:neutral,,0.556
793,1:?,3:neutral,,0.556
794,1:?,3:neutral,,0.613
795,1:?,1:positive,,0.869
796,1:?,2:negative,,0.872
797,1:?,3:neutral,,0.567
798,1:?,3:neutral,,0.556
799,1:?,3:neutral,,0.614
800,1:?,2:negative,,0.535
801,1:?,1:positive,,1
802,1:?,3:neutral,,0.571
803,1:?,3:neutral,,0.615
804,1:?,1:positive,,0.712
805,1:?,3:neutral,,0.559
806,1:?,2:negative,,0.873
807,1:?,1:positive,,1
808,1:?,3:neutral,,0.556
809,1:?,2:negative,,0.486
810,1:?,3:neutral,,0.567
811,1:?,2:negative,,0.486
812,1:?,1:positive,,0.999
813,1:?,3:neutral,,0.569
814,1:?,3:neutral,,0.569
815,1:?,3:neutral,,0.57
816,1:?,3:neutral,,0.572
817,1:?,3:neutral,,0.569
818,1:?,1:positive,,0.712
819,1:?,3:neutral,,0.604
820,1:?,3:neutral,,0.556
821,1:?,3:neutral,,0.613
822,1:?,3:neutral,,0.567
823,1:?,3:neutral,,0.569
824,1:?,1:positive,,1
825,1:?,3:neutral,,0.556
826,1:?,3:neutral,,0.612
827,1:?,3:neutral,,0.571
828,1:?,3:neutral,,0.386
829,1:?,3:neutral,,0.556
830,1:?,1:positive,,0.933
831,1:?,3:neutral,,0.556
832,1:?,3:neutral,,0.557
833,1:?,3:neutral,,0.556
834,1:?,1:positive,,0.692
835,1:?,2:negative,,0.873
836,1:?,3:neutral,,0.613
