DVNYNY	donini
LYAM	liam
FVRJY	forgy
BAABAR	baabar
SVRANA	surana
VAYS	wise
MARYTJY	maritje
ADANA	adana
TATSVRV	tatsuro
AYDMN	eidam
TVNAR	tonar
ZYTV	zito
BYLYNSKY	bilinsky
ASTYANSN	stiansen
LASKARY	lascari
BAD	bud
GYFT	gift
TAV	tow
BAVM	baum
ALYAS	alias
VYLJV	viljo
LAHYJ	lahij
ARFVRD	orford
AGALY	agali
ALVKAL	alukal
ASTYANSN	stiansen
VYKLVND	wiklund
LANDRY	landry
YANVVYTZ	yanowitz
PATYL	patil
TRAVAJLYA	travaglia
ASMAL	small
LAYNG	laing
JVN	jun
KVDVGNV	codogno
ALVYN	alvin
KRYSTYJNTJH	kristijntje
KRVM	crom
MARKVS	marcos
KVANRADVS	coenradus
SKYVRYTY	security
GRAF	graf
ANTVNY	antoni
AMLAK	amlak
TRAYNVR	traynor
AYGV	igoe
MATAR	matar
LAS	las
ASPVSTA	spousta
ABYL	abel
AMAND	amand
FVJYVKA	fujioka
KVTLA	kotla
SATKAS	sutkus
MVRAS	moras
DVGAN	dugan
TYYVLN	thulen
AVRM	orem
AKGAN	akgun
HYVKYNZ	hawkins
RAV	rau
DAVN	down
JYRARDYN	gerardin
NARDY	nardi
KVRDAS	kordas
KVBV	kubo
YANVVYTZ	yanowitz
KVAYNTVN	quainton
BASTYK	bostic
HASLVM	haslum
'ADL	adel
GADYL	gadil
ARYA	arya
PVPAT	popat
LYANG	liang
DAVT	dout
SANTVS	santos
GYVVN	givon
ASTYANSN	stiansen
KVMPTVN	compton
TVNY	tony
MATAR	matar
SYLVAN	sylvan
KASTRYKAM	castricum
AKSFRD	axford
NARAD	narad
DVRAN	doron
MVK	mok
MKGVYRK	mcguirk
ARYN	erin
MAMFVRD	mumford
HAR	har
ALKS	alex
AYRYK	eirik
DRAGAN	dragan
KATZ	katz
TVFTH	tufte
ZHRA	zara
NYLS	nils
ALVYS	alwis
LABRYVLA	labriola
ASPR	spur
LAMYKYN	lamykin
ZYGMVNT	zygmunt
AVANZ	evans
DAS	das
LVNAN	lonon
BARTZ	bartz
RYTYSGRT	ritsgert
BADYN	baden
VYKTVR	viktor
PYNZ	pins
AVLSN	olsen
SAHASY	sahasi
ALSVN	olson
BVDAPATY	bodapati
TYTMAS	titmus
YVNYZA	unaiza
AL'YN	alain
HARKYNZ	harkins
BRYSBYN	brisbin
ADRYANA	adriana
MYNTVN	minton
KRYSTYN	kristin
QVASYM	quasim
KYRK	kirk
MARTYJNTJH	martijntje
BRYND	brind
PRYVR	pryor
FABRV	fabro
KRYVVNVZ	kriwonos
ASMYD	smead
PVTYT	petit
KVLASA	kolasa
DABVYS	dubois
KALAFVT	kalafut
DAK	duc
SANA	sana
AVVLYV	avolio
AMYT	emit
BARKSDYLY	barksdale
VADAPARTY	vadaparty
SYMYNGTVN	symington
SYMVNA	simona
HABVRA	habura
HVRN	horn
FRANGAKYS	frangakis
DAY	day
LVFSTRVM	lofstrom
NAYLZ	niles
LYNDZ	lynds
KARTYS	curtis
MYNKY	minqi
FLAT	flat
MVRA	mura
PAYNTVN	paynton
KANTH	conte
DVGAN	dugan
LANG	long
ASTYPLZ	staples
MYLGRAM	milgram
ASKYLS	skiles
ALYA	alya
HASK	husk
KVBV	kubo
ANAYZA	unaiza
HYRT	hirt
NVRDBVRG	nordborg
DART	dart
AKDAG	akdag
PYNZ	pins
ALAHDVD	alhudud
RVJAS	rojas
MAKARAYG	macaraeg
GRANT	grant
