MADABA	madaba
YAYN	iain
KVRP	korp
JVLY	joly
JALA	jala
VALVR	valur
ALFANSV	alfonso
KASTA	costa
HYDAJAT	hidajat
DARHAM	durham
PALVMBV	palumbo
ALSVP	alsop
SVDARMV	sudarmo
BAND	bond
AKY	aki
FAYZ	faiz
AYNDAYRSN	indiresan
AVDRA	audra
MVNTALBANV	montalbano
ASTYVZ	steves
KVSKYMAKY	koskimaki
KVYST	quist
TVM	tom
PAYPR	piper
FARAT	furat
GRYT	grit
NVVYK	novik
AMADVR	amador
PYNZ	pins
TVAMA	tuama
LVYYNG	luinge
HADSVN	hodson
BABVRAV	baburao
BVDAPATY	bodapati
ASTAR	starr
BVNYFASYVS	bonifacius
NVKV	noko
SANRANG	sunrong
GVPTA	gupta
MVNAGAN	monagan
S'YD	said
ANGLAND	englund
JAKVBY	jacoby
TAMATYVS	tomatius
RAGNVALD	ragnvald
FABRH	fabre
BYATLYNG	beutling
BARTHVLVMYVS	bartholomeus
SAKLAD	saklad
BARKALV	barculo
ALTMAN	altman
PYVRYNTN	purinton
PVKVRNY	pokorny
'BDVL	abdul
VAST	vost
PARK	park
HAVKYNZ	hawkins
VYPYN	vipin
TAY	tye
RYSTV	risto
SYLVYV	silvio
BRVDA	broda
AYRLAYNZ	airlines
MAVBY	mawby
DYZVN	dizon
PYLAZV	peloso
BRAVNYNG	browning
ABA	aba
GAYA	gaya
DVRAZYV	dorazio
HAVARD	havard
ANJYLYNY	angelini
PANYKV	panico
SYDVR	sidor
MASAHYRV	masahiro
GYLPYN	gilpin
KAZVNVZY	kazunori
TAYRAY	tierie
MASAHYRV	masahiro
RABYJN	robijn
PARHAM	parham
KARBAJAL	carbajal
AYNDAYRSN	indiresan
'YN	ain
SANANDV	sunando
LVTYNZ	lutins
AMARYT	amarit
AVADYA	awadia
KVHAN	cohan
AKYL	aqil
JVSVYG	joswig
DYAZ	diaz
KRYYK	creek
DADH	dade
ADAMV	adamo
GATZ	gatz
VYLAS	vilas
DYVYD	david
ASTVK	stock
AYSTMVS	isthmus
ASTYLZ	stiles
NARDV	nardo
VYKRAM	vikram
ARSKAYN	erskine
NYVAYNGTN	newington
HART	hurt
PRYSTVN	preston
BANYTA	bonita
LANGDVN	langdon
DYKAVTY	decouty
DAG	dag
ANASTASYA	anastacia
HYSLAP	hyslop
JVDY	judi
FVNDV	fondo
RAYBLT	rybolt
ASTYNTJH	steentje
GYBSVN	gibson
AKYL	aqil
KYBV	kibo
AMVRY	amory
MARTYZN	martijn
BLVNSDVN	blunsdon
KATALANV	catalano
ALTZ	oltz
AYMAN	ayman
GARSKY	gursky
ASPYRZ	spiers
GYLRVY	gilroy
DAVAD	dawud
KARLAYL	carlile
BVRM	borm
SVRAJ	suraj
GVYYN	gwynn
ASKAL	scull
LYNDRVTS	lindroth
LVNAV	lunau
HAYZ	hise
SAKARY	sakari
MKGAVYN	mcgavin
PAPAY	papay
HAPKRAFT	hopcraft
TVYT	toit
BRAN	bran
AZANA	ozuna
MANYKS	mannix
AVYARS	oyarce
ANAND	anand
LVSY	lucy
KALMAN	kalman
GRYLK	grilk
LAN	lon
SAMVYL	samuel
DYVYSVN	davison
SAMYT	sumit
HYTZ	hitz
BASYLYVS	basilius
ALTANYN	eltanin
HARATZ	haratz
BANKS	banks
ZVVAYTA	zuvieta
DVYNYNG	duening
GAY	guy
R'NA	rana
GVDAT	gudat
KAMPAR	kompar
RYGV	rigo
HAPKARFT	hopcraft
FRNASYSKAS	frnaciscus
VYNDVM	windom
KAMPVS	campos
JAVYKA	jovica
RAY	rai
BLAHA	blaha
AVYNG	ewing
SANA	sana
ALYVT	eliot
BYLAL	bilal
PYNKVVYTZ	pinkowitz
DAG	dag
HARDYNG	harding
RANKYN	ronkin
BVLDVYJN	boldwijn
ANAKYN	anakin
MARYN	marin
VYTVR	vitor
BRAYS	brice
HYSLAP	hyslop
HARALD	harald
AVZMN	ozmen
BARG	burg
KVTLA	kotla
LAYL	lyle
LAYVRYTSN	lauritsen
SYSLV	sislo
RVSV	rosu
YVFYNGTVN	uffington
MYNYARD	minyard
KVVAR	kovar
NYNVYS	ninoys
LYSY	lacy
LALKYN	lulkin
NAPVLYTANV	napolitano
SVRVALY	sorvali
PYNYAN	pinyan
TRYM	trim
GYRARD	girard
VALDV	waldo
BVTARY	botari
TAHARA	tahara
MATSVMVTV	matsumoto
GAVYND	govind
ADNAMZ	adnams
HVRVVYTZ	horowitz
FYGVRA	figura
DVNAY	dunae
RAZDAN	razdan
KAMPAR	kompar
KATALANV	catalano
ASTDYNA	stedina
VYNTJH	wyntje
MAYTAG	maytag
ZARYH	zaria
LYAV	liao
DRAGAN	dragan
VYTV	vito
ASKY	skee
KAVS	kaos
SYNG	sing
GRANDASTRVM	grundstroem
VYSAL	wisal
ARDYS	ardis
AFZAL	afzal
DANYS	danis
KAV	kao
PYATJY	pietje
AJAY	ajay
DVVAYKYNK	duickinck
KRAVSVN	crowson
LVRD	lord
SYMARD	simard
BLKSVM	bloxom
MARVYT	marvit
VYDY	vidi
VYRYANA	wiryana
TAMAS	tamas
ALMKVAST	elmquist
HAMY	hami
MAYSAL	missal
LAMASTVS	lamastus
LASKA	laska
PARDY	pardi
ANVKVL	anukul
MYLVS	milos
AVTV	otto
ASTYLZ	stiles
AVLA	olah
KASVN	kasun
ASNV	snow
PANYKV	panico
BLVNSDVN	blunsdon
BALMA	balma
HLAVYN	hlavin
DVZYYR	dozier
KVRTH	korte
NAGASAKY	nagasaki
PATYL	patil
MANV	mano
GYNKZ	genks
DYMYTRYV	demetrio
KARVSV	caruso
AVR	ore
TAYMN	tymen
JAKVMYNTAY	jacomyntie
ASTYGBRG	stigberg
FVNDV	fondo
MVNTA	monta
KLAGSTVN	clugston
PVZYVS	posius
BVSTRAM	bostrom
MYTV	mito
AVLYVYR	olivier
MAKARAYG	macaraeg
SYMVNH	simone
HALST	holst
LALY	laly
ALVYS	alwis
ABDVN	ebdon
VADAPARTY	vadaparty
GATZ	gatz
BAGZ	bugs
SYNDRH	sindre
ALKSANDRVZ	alexandros
ASTRYDR	strider
ASNL	snel
NAYKVLAS	nicolaes
ASTRYN	ostrin
MYRTY	mirti
ANRAH	unruh
HANTYNGTVN	huntington
ASKV	osku
AKSFRD	axford
LYRYKAL	lyrical
RYZVY	rizvi
MVNTALBANV	montalbano
AFA	afa
MANGYN	mangin
SYMS	sims
RYDKVYST	rydquist
GRAD	grad
HLAVYN	hlavin
SKARP	scarp
LYVNARD	leonard
FLARDYNGA	flardinga
AVLA	olah
AND	and
SYLVAN	sylvan
ATRY	atri
RAVDA	radwa
RAMVLVS	romulus
MKMAHAN	mcmahan
AVSYVN	oseven
AYRDV	airdo
KARABVLVT	karabulut
AFYF	afif
KALAHAN	calahan
ZARYH	zaria
KVRZAYN	corzine
BRYYTVN	britton
KALVYN	calvin
DAVNYNG	downing
MAY	may
VYSAL	wisal
BANTYNG	bunting
ANTVNYS	antonis
TAMBRVS	tombros
ASTAYNMN	stineman
GYBSVN	gibson
RAD	rad
GVPALA	gopala
ASTYRNZ	stearns
GVYL	goel
SYKY	siqi
JVNYN	jonin
SANTA	santa
DAY	duy
KVKAL	kokal
YAV	yaw
TYNG	ting
BRYTA	brita
PYNTVN	pinton
AVLYVYR	olivier
TYMVR	timur
KRAB	krab
BARTHVLVMYVS	bartholomeus
DAVAD	dawud
TVBYAS	tobias
RAKYKVT	racicot
NYVARK	newark
HALAN	hulan
GVAN	guan
ATYNZVN	etinzon
DVLYN	dolin
LVYD	loyd
KADV	kado
HARBVD	harbud
MVN	mun
BARKAY	barkai
AVRAM	avram
MARTYNV	martino
MYMY	mime
KVSYRA	kucera
LVSYTV	losito
KVMPTVN	compton
BVD	bud
PALFVRD	pulford
NVRDBVRG	nordborg
YASYRAH	yasirah
LADYVYL	ladeuil
GAYDV	guido
ANVN	anon
BALTAKS	baltaxe
NYVKVYST	newquist
HAVARD	havard
AVYARS	oyarce
LAND	land
BVZVVA	bozuwa
SVLAR	solar
AFTAB	aftab
AYRD	aird
VAYS	wise
ARMAND	ormond
ARFVRD	orford
YAP	yap
