BAVKAM	bawcom
ASTYL	steel
ARYKA	erika
FRANSYSYVS	frnaciscus
DAKV	daco
AYNGLD	ingold
GRAG	grog
MARTY	marty
JVZY	josi
HADYL	hadil
KVBLA	kubla
RYYNKS	rienks
KAMB	kamb
SAYDA	saida
GAMBYNV	gambino
RAFYKYV	rafique
DYAB	diab
LARVKVYH	larocque
MYNARYK	minarik
KAPRAL	kapral
LAMARK	lamark
ATRY	atri
LASTRY	lustri
ASTVART	stewart
KYAT	kiat
GAYDA	gayda
ASPYRZ	spiers
MARANY	marani
KLAYSVN	clayson
ASTAYNMN	stineman
KAM	kam
PYNKVVYTZ	pinkowitz
VALVR	valur
VYLKYNZ	wilkins
HARPVLD	harpold
ALTANYN	eltanin
GVPALAN	gopalan
ANGVLV	angulo
KATRYN	katrin
LAVANDH	lawande
SYNYBALDY	sinibaldi
ARVYNG	irving
AMARAL	amaral
HYVM	hume
NADYG	nadig
SYLVYV	silvio
KARHART	carhart
AYSAK	isaac
SYMYN	simin
ARDYS	ardis
JVAN	juan
AYSVN	asson
LADASKY	ladasky
LYNK	link
LARA	lara
TVMY	tomi
AYMAN	aiman
PAL	pal
PYLAZV	peloso
ARVYVLA	arviola
PYZYALY	piziali
ASKALY	scally
VYNDVM	windom
AMBRVSYVS	ambrosius
MVRAD	murad
AYRP	earp
DYDA	rida
MAV	mau
FRAYTGRSA	fritgersa
KALAFVT	kalafut
ASTRND	strand
DAVKNYZ	dawkins
MVK	mok
GVANYAV	guanyao
RYSLYNG	rysling
GASPAR	gaspar
SYMVNH	simone
ANTVNYV	antonio
NYYVTN	newton
ZYZY	zeke
BABAR	babar
ALVYN	alwyn
GALYZYA	galizia
SLYM	slim
VYRJYL	virgil
ANRYKV	enrico
GAYNVR	gaynor
SYMPLYSYTY	simplicity
AVGYNH	eugene
'LY	ali
CYBANSKY	cybanski
ALVF	elof
ADVARD	edward
TAPTANY	toptani
SANRAYZ	sunrise
HARMAN	harman
SAYKV	psyko
ABH	abe
LVBV	lobo
LYNDAL	lindal
KRAK	kruk
SYTJY	sytje
KAPANGA	kapanga
KVSTA	costa
BASYN	basin
ALMYNTAKVA	almintaqah
MAYLN	milne
AVT	ott
ALMYNTAGAH	almintaqah
HYTZ	hitz
BYKSLR	bixler
ADRYANA	adriana
SAYVYR	sawyer
SAVAN	sawan
ABYL	abel
HYKARV	hikaru
HABVRA	habura
BANYTV	bonito
FVTYNVS	fotinos
ANDRYA	andrea
ASTNSRAD	stensrud
FRANKV	franco
AGYLA	aqila
PYVRYNTN	purinton
MVNYZ	muniz
TYMBVL	timbol
PANDYT	pandit
LVMBARDV	lombardo
LAV	law
ANVVY	envoy
DYVAR	dewar
GRAYYNGR	grainger
LAFGRYN	lofgren
ASLYNY	slaney
ASTYNSN	stinson
NAGASAKY	nagasaki
DVARTH	duarte
MANGLANY	manglani
AGVYV	agoyo
GRYLK	grilk
DVBYNYN	dubinin
HAVTYN	hawtin
AMBRVSYVS	ambrosius
TVM	tom
VAYN	vine
HAMYLTVN	hamilton
VYKTVR	victor
RABKYN	rabkin
VALTVN	walton
MYRTY	mirti
FAVST	faust
HAYZ	hise
ANTYLA	antila
ANYSH	anisa
PAGLYA	paglia
BABAH	babah
AKL	akl
ADMYRALZ	admirals
BABVRAV	baburao
BYNVY	binoy
GANG	gung
MKKARTY	mccarty
KALAHAN	calahan
HAKSL	haxel
SYNKLAYR	sinclair
BARKVS	barcus
AVRKNY	orkney
YANVVYTZ	yanowitz
PARTVS	partos
AGVYV	agoyo
TRAYNVR	traynor
LYNKVYS	linkous
VYKTVR	viktor
ATYYA	atiya
FAYRBANK	fairbank
KVNV	kono
LVND	lund
LVKV	loco
DYKV	dico
PATYL	patil
MAGVAYR	maguire
SVSYA	sucia
SAKAMVTV	sakamoto
BAVM	baum
AMYLY	emily
BARLAS	barlas
DRAGAN	dragan
SARMA	sarma
ASPYR	speer
BAYDA	bayda
HAYNS	hines
KASTANV	castano
MVHAN	mohan
MVRYN	morin
BRVANHAT	braunhut
AGYL	aqil
ADYH	adie
JHANG	jhang
MARSY	marcy
AMNA	amna
ABRAM	abram
DAMVN	damon
HASAKAH	hasakah
ADVARD	edvard
NYN	nin
ALYMA	ulima
KATALANV	catalano
MASAHYRV	masahiro
RASTY	rusty
YARVN	yaron
DVRA	dora
FAYK	fike
KARTYS	curtis
JVZY	josi
PVLYNG	poling
LYTVYN	litvin
AYK	aik
KATVALA	katwala
DYB	dib
LYBLYT	liblit
LYSTVN	liston
GRABNAR	grabnar
FRANKLYN	franklin
DYSAY	desai
SYSK	sisk
HYYN	hean
LVDVVYKA	ludovica
VYLKANS	vilcans
HYGARTY	hegarty
BRYGVY	bryguy
KVHN	cohn
ASTRND	strand
FRANKV	franco
AMYR	amir
KATRYN	katrin
ALAPATY	alapati
AVRYVLY	aureole
PRAPYS	prupis
ASTYNSN	stinson
SANTVS	santos
BRAYS	bryce
AYRP	earp
LAVYGNH	lavigne
AFTAB	aftab
LVNZ	lunz
SAVAN	sawan
TAMBRVS	tombros
SAKAYV	sakaue
