MYNTZ	mintz
SAYTZ	sites
GVNY	gony
MALTYN	maltin
'RRYFA	arrifa
BASYL	basil
KAYN	kain
FARYHA	fariha
TVSV	tuso
DVZAT	duzat
RVSA	rosa
KVRBYN	corbin
VYLADVT	viladot
ALKSY	alexy
MVRAVAN	moravan
SAGA	suga
DYKV	dico
HADSVN	hodson
DAMYTRV	dumitru
HASKYNZ	hoskins
RASTY	rusty
AVSYVN	oseven
ALVA	alva
MALAN	malan
LYRYKAL	lyrical
FRANSYSKA	francisca
RAHVL	rahul
PVGVSYAN	pogosyan
FALTAK	foltak
AQBAL	ikbal
HAYRVNYMVS	hieronimus
ALVYN	alwin
LADYK	ladic
SVDARMV	sudarmo
NAYA	nina
DYVYS	divis
FVNDAL	fundal
MYLARA	melara
AKVNA	acuna
SYT	sit
ASPVTYS	seputis
LANTZ	luntz
GVY	gui
PYNKY	pinky
RAFA	rafa
PAYNY	payne
MAYR	mire
KVBSA	kobsa
JASTJY	justje
YAMYNAH	yaminah
ALMV	elmo
RABYNSVN	robinson
SVSYA	sucia
BAN	bon
SYMVNZ	simons
HASAKAH	hasakah
SAKAYV	sakaue
KLAYTVN	clayton
SARVATH	sarwate
BARNAM	barnum
HVGARTY	hogarty
BVLDT	boldt
DYVYDSVN	davidson
KAVH	kave
RYJSVYJK	rijswijk
AYSAK	isaac
AMVRVSV	amoroso
GVRDYN	gordin
AYNTLSAT	intelsat
AVNSTY	onesty
RABYV	rubio
BARLAS	barlas
LANKART	lonkart
KVAYMAN	coeyman
KRVK	krok
AMYKVS	amicus
'LAALDYN	alaaldin
TVLYV	tulio
GAVYNDAN	govindan
KARLKVYST	karlquist
RAYMVND	raymond
HARDYN	hardin
BALDVR	baldur
ANATVLY	anatoly
HARATZ	haratz
DAMYVN	damion
ASMYRNV	smirnov
BLASY	blasi
TYRZA	tirza
MKMANYS	mcmanis
HYVVYT	hewitt
AMYH	amie
PARSVNZ	parsons
MAMA	mama
ABVDHABY	abudhabi
SYLK	silk
GVRKY	gorki
KADRYBYSYK	kadribasic
MARSY	marcy
MVTVR	motor
DAPAY	dupuy
KAPLYNK	kaplenk
ASTAD	stude
TARYK	tariq
BALHAM	balham
SYLVA	silva
AYRLAYNZ	airlines
HVRYV	horio
PVLVVYN	polowin
AYDS	eads
GANAVAN	gunawan
DVHA	duha
NYTYN	nitin
NVRHA	norha
LAYHV	laiho
AYMAN	ayman
RYTA	rita
GYVZ	guse
LAY	lai
JYBSVN	gibson
BAABAR	baabar
LYDVR	lidor
BAND	bond
DANA	dana
NAYA	nina
VYLJV	viljo
KYVNG	kiong
GRAG	grog
KANG	kong
MVRLAN	morlan
AZANA	ozuna
PAKALA	pakala
FRANSYSKA	fransiska
ASLAVMYZ	slawomir
GVRGANZ	gorgons
DAKV	daco
