BALYGA	baliga
ASPVSYTV	esposito
MYTV	mitu
DATRY	datri
TARVB	tarub
DAG	dag
BVDVR	budur
AKSFRD	axford
HVDAYDAH	hudaydah
DVLMAN	dolman
JANVTJH	janotje
PYSTVN	pistun
TAMATYVS	tomatius
'BDAL'ZYR	abdulaziz
KAYLAS	kailas
MAKARAYG	macaraeg
LVN	lon
RYDKVYST	rydquist
LANGDVN	langdon
JVDAS	judas
VYVYK	vivek
ANRYK	enric
LAN	lan
SYTRAH	sitrah
BRAN	bron
MAYR	mayr
LVRTVN	lorton
HAPKRAFT	hopcraft
AYZDY	izadi
YVRMV	yermo
KADV	kado
NVLF	nolf
ADARA	edara
PALYDV	pulido
GLVRYA	gloria
DYKAVTY	decouty
TAD	tad
BLYNKV	blinco
RADHA	radha
SLYM	slim
MVRABYTV	morabito
SYNK	cinq
HYSAN	hisan
ADAN	adan
PANAS	panas
LYVNARD	leonard
GANATRA	ganatra
ASLATR	slater
ASKAYT	eskite
TVNAR	tonar
KALPYN	culpin
HASLVM	haslum
MVYR	muir
VYLYNGZ	willing
KVAST	kwast
AMARAL	amaral
RAFAL	rafal
NYKVLAS	nicolas
TAMAS	tamas
ARM	arm
JAYANT	jayant
JVDY	judy
RASV	raso
RVNDA	ronda
RASTRAM	rostrom
PAYTR	pitre
GAYDRY	guidry
HVLRVYD	holroyd
MVNAKV	monaco
DVBSVN	dobson
BASMA	basma
BAKAYA	bakaya
MVNK	monk
LVPATKYN	lupatkin
ANVJYT	anujit
AKYLAH	akilah
MVD	mod
YARVS	yaros
DYRKS	dirks
ASMAYT	smythe
AVLA	olah
KRAVFVRD	crawford
MAYRYK	myrick
AMYH	amie
PAYVLTJ	paultje
VYZNAND	wijnand
ASKALY	scally
HVDSVN	hodson
RAMA	rama
GATZ	gatz
ASTRYTY	steriti
AYNS	ines
BRAYN	brien
GADBVRY	gadbury
AYSLYK	icelic
YVRANYM	uranium
JASTJY	justje
ANSYH	anisa
AMYNA	amina
LAKY	lucy
LVMBARDV	lombardo
AVR	ore
KYN	kin
SAKS	saxe
BARTA	barta
ASTABRT	stobert
ARVYVLA	arviola
MYLVS	milos
MYRTY	mirti
GVDSVN	godson
SADYKVYH	saddique
FRAYDA	frieda
SVRAB	sorab
BARVA	barua
KRAYJ	craig
DVLAN	dolan
MVRAY	moray
VAST	vost
MVTYSV	mutiso
RAHY	rahi
AMBRVSYVS	ambrosius
MARKV	marco
PYNA	pina
AYNTLSAT	intelsat
DANDAS	dundas
BRYTA	brita
ANGLASMA	engelsma
KVANRADVS	coenradus
BARTVN	barton
FYNK	fink
PRABST	probst
AYVLYN	evelyn
BLAM	blum
AGALY	agali
BRYTA	brita
ALMYNTAKVA	almintaqah
VYLKAS	wilcox
MVKASA	mukasa
JAYARAM	jayaram
ANYJMA	enigma
VYMPJH	wimpje
TVSV	tuso
BVNYN	bonin
LVRY	lori
GRYGVR	gregor
ASMYD	smead
ZVRYSYKA	jurisica
AMNVN	amnon
SAND	sand
SYMVN	simon
JVANYTA	juanita
SYTJY	sytje
MS'VD	masud
PADVLA	padula
TRYSY	tracy
PRAM	pram
DRAP	drop
ANDRYAS	andreas
NAV	nau
BALTAYS	baltais
FAYRBANK	fairbank
PYRANY	pirani
ABDVN	ebdon
HAYM	hime
GRAD	grad
ASPYR	speer
PVLYYAM	pulliam
PVLK	polk
MVTVR	motor
VAYZ	wise
LVSYH	lucie
KVDY	cody
TALMY	talmy
DANA	dana
ABYAD	abiad
GYVZ	guse
ANANDA	ananda
KANYTZ	cunitz
MARGARYTA	margretha
KYMVRA	kimura
SYMYN	simin
DHAMAR	dhamar
KARLKVYST	karlquist
PVLYNG	poling
MYLGRAM	milgram
TVMATYVS	tomatius
BYLYNSKY	bilinsky
JABJH	jobje
BYAN	bian
GVRAPARTAP	gurupartap
JVNYN	jonin
MVRYSVN	morison
SYVN	sune
NYVARK	newark
GVYDV	guido
NARDV	nardo
LYVNZ	lions
KVRDAS	kordas
ANRYK	enric
LYMYNG	liming
DVBRYZ	dubris
SVNG	sung
ASKARS	scarce
BRATYNA	bratina
VAYMN	wyman
PATRYK	patric
DAV	dov
KVRAM	coram
BLVNSDVN	blunsdon
BRVYN	bruyn
TANG	tong
DYKSTRA	dikstra
GRVHVL	grohol
MVNTAGV	montagu
TVNY	tony
DRAM	drum
DAMYTRV	dumitru
ASTYPLZ	staples
VYVA	viva
HAPKARFT	hopcraft
BLVZVM	bloxom
DYPAK	dipak
BANKRVFT	bancroft
KARTYK	kartik
VALTVN	walton
AGVSTYNY	agostini
RVRY	rory
ANVPAM	anupam
AYZDY	izadi
ARNH	arne
KVJYAS	kogias
