AYVRSVN	iverson
ASLAVK	slawek
BASKY	bosky
SASZH	sasze
BARNARD	barnard
ASK	ask
TARYK	tariq
ABRYNY	ibrini
KAY	kai
AYRP	earp
PALFVRD	pulford
KRVK	krok
GVRGANZ	gorgons
BLAL	blal
SYKY	siqi
ASLATR	slater
SAYDA	saida
PAKALA	pakala
VYRJYL	virgil
KARLAYL	carlile
KANBVY	conboy
MAYTAG	maytag
HVAR	hoar
VYPYN	vipin
AYBYRVNK	ibironke
GAV	gao
GRAYSLDYZ	griseldis
BASTYK	bostic
GVYN	gwin
ALYLYVNAS	alelyunas
AVTA	otha
SANDHV	sandhu
KAMBYY	combee
ANTVNYS	antonis
ABRAHAM	abraham
