BVSTRVM	bostrom
BAKAYA	bakaya
KRYSVJYN	krisoijn
'BDAL'ZYR	abdulaziz
BANKRVFT	bancroft
SAVSAN	sawsan
DVRDAL	dordal
ASPATSVVD	spotswood
DVRAN	doran
HARMZ	harms
TALYBAH	talibah
DVRAN	doron
NVKS	knox
SYMPLYSYTY	simplicity
SAYTV	saito
PYVN	pion
BASMA	basma
FRANSYNTYH	francyntie
KATRYNTJH	katryntje
MYNAMV	minamo
NVKV	noko
BYVDVYN	bauduyn
HARALD	harald
ASTRYAN	stroyan
RYDKVYST	rydquist
ASTYNTJH	steentje
SVR	sor
PARSVNS	parsons
MAKARAYG	macaraeg
TYSZA	tisza
HAVKYNZ	hawkins
GRYT	grit
GARSYA	garcia
ANAY	anay
PVYSL	poisl
BAYRTYH	baertie
ANTVNYVS	antonius
KVNG	kong
KLARK	clark
ASTAG	stagg
RVY	roy
SALVMVN	solomon
DVSTY	dusty
BLYNKV	blinco
BVRM	borm
BRVKSL	brooks
HRLAYNDYZ	herlindis
BAJVA	bajwa
A'LY	aali
ASTRAK	strock
KYMVN	kimon
AYMAN	ayman
AYVRS	evers
LAVYGNH	lavigne
ZVRYSYKA	jurisica
RASKYN	raskin
DYMYTRYVS	dimitrios
BVDY	budi
GYLRVY	gilroy
BYGV	bigo
DARBY	darby
LAMASTVS	lamastus
BRVYN	bruyn
SAMGYN	sumgin
SANZBVRN	sansburn
ASMVT	smoot
LAFGRYN	lofgren
ARGAR	orgar
GRYT	grit
MYKVLYK	mikolic
RAV	rov
ASTV	stew
MKMAHVN	mcmahon
PRYYVTY	priotti
KYVZVN	quezon
ASTYSY	stacey
AYSYZAKY	ishizaki
MAHAVLT	mahault
KAY	kai
MASARA	masaru
DYNY	dini
YVRANYM	uranium
NYPTVN	napton
GVPTH	gupte
KYPLYNG	kipling
MYNKY	minqi
BRANSDVN	brunsdon
RAYDN	ryden
ASKADZ	scudds
MATAR	matar
ASTYGBRG	stigberg
MYLAM	milam
FYN	fin
MANDAR	mondor
RYBAR	ribar
MYTRVVYK	mitrovic
BASKAR	baskar
MYTV	mitu
SYKY	siqi
LVDVVYKA	ludovica
DYMYTRYS	dimitris
VYMPYJ	wimpje
ALSVN	olson
BASKY	bosky
ASPLYNTR	splinter
DAVNYNG	downing
VAYL	vail
PASKV	pasko
TVBYAS	tobias
ANANT	anant
RVMYG	romig
'AYMN	ayman
PRASANA	prasana
JYGANG	jigang
GAYNVR	gainor
BALYT	balit
RVNGV	rongo
TAMAS	tamas
SASKA	suska
DANLVP	dunlap
RYHANA	rihana
LYNDL	lendl
AVAD	oued
DYNG	ding
PYVRYNTN	purinton
ALTZ	oltz
LVMAS	lomas
ABAD	abad
AYSKANDR	iskander
MVHAN	mohan
GRAYYV	grieve
KVRY	kory
BARKAY	barkai
TRAVN	trown
MARKVPVLY	marcopoli
DRAYNH	draine
MYMAS	mimas
TVLAY	tully
SYLVAN	sylvan
ASK	ask
BRAVV	bravo
KAMBYY	combee
ANVKVL	anukul
RASTY	rusty
GAVYN	gavin
RABYDYAKS	robideaux
AMVS	amos
ASKATV	scotto
HVRST	horst
DRYV	drew
JANG	jong
SABRAMANYAM	subramaniam
SANTSBRN	sansburn
MYSA	mesa
AYDYD	aidid
VYLKYN	wilkin
RASTY	rusty
MANDAL	mandal
MVSY	musa
JVNYVR	junior
VVLTRNYNG	woltering
MVNTALBANV	montalbano
ANFANT	enfant
VYRAF	viraf
AKYL	akil
AVKYNZ	oakins
DVRAZYV	dorazio
HAYNGH	hainge
LANTZ	luntz
FARKAS	farkas
TVM	tom
ANDRYVZ	andrews
TVLYV	tulio
