RVGVZA	rogoza
KVYALYK	kowalik
BARYAKS	bariaux
VYDAL	vidal
ANTVNY	antony
SVHA	suha
GRYNHAM	grinham
KVYALSKY	kowalski
ANTYLA	antila
AMBRVSYVS	ambrosius
TAMATYVS	tomatius
GYNTVN	ginton
AYSRT	israt
FAVAZ	fawaz
BVRM	borm
LAP	lap
ZVRYNK	zurink
FVRSBLAM	forsblom
MAKAYVLY	macauley
MARKVYZA	marqueza
VYLHAYT	wilhite
ARMAND	ormond
MARTYNTJH	martyntje
RASV	raso
BARNABY	barnaby
AYGLV	igloo
TVMATYVS	tomatius
FVRSAYT	forsyth
RYYD	reed
FLVYD	floyd
VYKTYM	victim
BRAYS	bryce
MADYV	madeo
TAPLYN	taplin
AYDYD	aidid
ABY	ebe
AVRFYVS	orpheus
RATKS	rutks
KATALANV	catalano
DAV	dow
RAMVS	ramos
SALVMVN	solomon
ALFVRD	alford
MAYRZ	myers
ASTYT	stith
GALYLA	galila
BARNABY	barnaby
NVLAN	nolan
MAGVAYR	maguire
ASTYD	stead
BVRG	borg
RYVDT	ruudt
MAMA	mama
PRASANA	prasana
KVDAMAH	qudamah
KRYSJH	krisje
APRYL	april
HYNSVN	hinson
BRAYNKLR	brinkler
VYGTVN	wigton
JYNG	jing
RVYAL	royal
AYNKH	einke
BAPTYSTA	baptista
SVKVMAR	sukumar
ANGLAND	englund
AJAY	ajay
VAYN	vine
KAYT	kyte
PARHAM	parham
AVDRA	audra
KVBV	cobo
KANSTABARYS	constabaris
KAV	cau
KATALANV	catalano
PVLK	polk
DYVYDYAN	davidian
HYJDAN	higdon
KVYALYK	kowalik
ADKYNZ	adkins
FARKAS	farkas
LAV	lau
JVBAL	jubal
ALF	elf
GALYLH	galila
FRAYDA	frieda
KANV	cano
MADVN	madon
JVAN	juan
AKLVF	eklof
NYVMAN	newman
BARKSDYLY	barksdale
'DYL	adil
YVZR	user
BALSVN	balson
SAMVYL	samuel
FVLKANYS	fulconis
BRANSDVN	brunsdon
ASKAVN	skaven
ASTVN	stoun
BYFRAST	bifrost
MAGAGNA	magagna
MARGVLYVKS	margulieux
JAMVNA	jamuna
BRVTY	bruty
KARY	kari
PYZVLYTV	pizolato
MANY	mani
AMYNA	amina
BARY	bari
FRAYTGRSA	fritgersa
DYSANTV	desanto
BARKVLV	barculo
TATSVRV	tatsuro
MVN	mun
MYMY	mime
KAMBYY	combee
PVYV	pouw
AYK	aik
SAYKS	sikes
TVNAR	tonar
SATVR	satur
TATARY	tatari
BARY	bari
BYLYNGASLAY	billingsley
ATKYNZ	etkins
DYKYNZ	dykins
TYNG	tyng
HYNDRYKA	hendrica
KARSVN	carson
ASPVTYS	seputis
MVHAN	mohan
RABYDYAKS	robideaux
PATRYSYA	patricia
AYRL	earl
ABST	obst
ASKADZ	scudds
KVJYAS	kogias
ANAND	anand
DRAVN	drown
GALKV	galko
JAGARD	jagard
VYKAS	vikas
LVMAS	lomas
SAYKS	sikes
ATRAM	atram
LYZ	liz
KVDY	cody
'AYMN	ayman
DANKV	danko
ASTYANSN	stiansen
TVVYS	twiss
VAN	wan
FLVYD	floyd
RAMVLVS	romulus
ATYNZVN	etinzon
