GANYSAN	ganesan
HARATZ	haratz
RYM	rim
VYNDVM	windom
BADYG	budig
MARGARYTA	margretha
LAV	lau
KARMVNA	carmona
JANVTJH	janotje
TYVNYS	teunis
VYRJYNYA	virginia
KAPLAN	kaplan
JANG	jong
MANGLANY	manglani
MVNAGAN	monagan
MVYR	muir
GANATRA	ganatra
SVSA	susa
RAYSTLYN	raistlin
AMYH	amie
ANVAR	anwar
KRAYG	kraig
VYMAN	wyman
HALTZ	holtz
JANG	jang
GVSTAVVS	gustavus
MKMAHVN	mcmahon
VARN	warn
GRASKYN	gruskin
NARDY	nardi
KALTVN	colton
ASPYRYNG	spearing
KATALANV	catalano
FABRYS	fabris
MVRAY	moray
STRATVN	straton
ANAYZA	unaiza
MANGYN	mangin
PRADV	prado
SVTV	soto
VAYNTH	wyntje
ARLYNDH	arlidge
DAY	duy
AYDVAYSVZ	ludovicus
HALAN	hulan
GRAV	graw
AMBRVSYV	ambrosio
MYTV	mito
BALSAM	balsam
ASBRYNK	asbrink
SYNYBALDY	sinibaldi
KLAVDY	claude
'FAF	afaf
GVANYAV	guanyao
TAD	tad
BVDVR	budur
RAYLH	rayle
HARVARD	harvard
TAPTANY	toptani
BARTVNYKV	bartonico
BYLHAR	bilhar
SVHA	suha
LASKARY	lascari
ASPVLARYX	spolarich
DAV	dow
LABRYVLA	labriola
KRYSTYAN	kristian
NYGRA	nigra
BADZYAK	budziak
JAKVBY	jacoby
LVRY	lori
MARYNV	marino
GANDY	gandy
DYPAK	dipak
LASKARY	lascari
SABRAMANYAM	subramaniam
FLAT	flat
ASTANGYR	stangier
ANTYLA	antila
ASKLVYR	sklower
TRAYNTH	tryntje
ADVARD	edvard
YAKVB	yacob
AVSN	osen
SYTYA	cetia
MANGLANY	manglani
MVNKAR	moncur
ATV	oto
KANYA	kania
GAN	gan
AYLVARD	aylward
BAY	bai
KAMB	kamb
ASTAMPR	stamper
NYKALAS	nicolas
AVRM	orem
BAD	bud
ALVF	elof
NANSY	nancy
ADGYNGTVN	edgington
FAYRBANK	fairbank
BLAVADNYK	blavatnik
BADZYAK	budziak
KAPANGA	kapanga
ASPVTYS	seputis
FRANKVYZ	francoys
AYBAC	ebach
PADYAL	padial
DVSTALYK	dostalik
ASKARS	scarce
HAYM	hime
ALYLYVNAS	alelyunas
SVNG	sung
JVAB	joab
BALD	bald
ANYL	anil
TRYSY	tracy
AVBRTAS	obertas
LYYVVH	lieuwe
MANYSKAS	maniskas
HARALD	harald
AMVRY	amory
RVSV	rosu
YVRMV	yermo
TATARY	tatari
HAYNZ	hynes
TYNG	tyng
DAVKYNZ	dawkins
KANT	kant
KARSVN	carson
MYNTVN	minton
RYSTV	risto
TRYVYTZ	truitje
ALSVN	olson
FATYS	fotis
RYBAR	ribar
ALSAP	alsop
YAMN	yumn
FLYMYNG	fleming
AGATY	agate
ARYN	erin
AVRV	orue
AMS	ems
KART	kurt
KASY	koci
MARVYN	marwin
ZYTV	zito
RVNDA	ronda
AVGVST	august
AVN	aun
KVRDAS	kordas
BRVTY	bruty
LVM	lum
ARAYZ	aries
ASTYSY	stacey
MARTZ	martz
'BDAL'ZYR	abdulaziz
GVRYS	goris
DVHH	duha
FVRK	fork
HARVARD	harvard
BAT	bat
VADAPARTY	vadaparty
'BDAL'ZYR	abdulaziz
FAVST	foust
BARTVLYNY	bartolini
