RAFY	rafi
MVSY	musa
GANAVAN	gunawan
LVMAS	lomas
KVYYLYN	quillin
GARBH	garbe
HALTVN	holton
RVNDA	ronda
JAGV	jago
MARY	mary
LVM	lum
NAYA	nina
LVN	lon
BYSAYV	bissau
SYR	cyr
VYNATA	vinata
MVNTAGV	montagu
BARKASFYLD	barksfield
LYTVYN	litvin
VYMAN	wyman
ADYNA	adina
HYNDRYKA	hendrica
BYTZ	bitz
PYNKVVYTZ	pinkowitz
BRAYR	brier
KRAYG	kraig
FYLYAS	filias
KLAZVRA	klazura
ASLAN	sloan
BLAHA	blaha
SAMAH	samah
ASPARZA	esparza
HASLVM	haslum
FLAT	flat
VALKA	walka
GANZAK	ganzak
TYPAL	tipul
TVBYN	tobin
PARKYN	parkin
YVRK	york
LAMBDA	lambda
MAYR	mire
ASMYTSVN	smithson
FADVR	fodor
JASTJY	justje
ADAB	adab
ADVVART	eduwart
RVSANA	rosana
MVRAD	murad
LAFGRYN	lofgren
BYK	bik
FLYNT	flint
VYRJYL	virgil
DVMYNYK	dominic
LANDYN	landin
VAJDYK	vajdic
PRADV	prado
RAV	rov
AMYVT	amyot
ASNL	snel
BAYFYLD	byfield
KATVALA	katwala
GAYMVND	guimond
DYL	dil
'AYMN	ayman
MARTYJNTJY	martijntje
NYVMAN	neuman
ADKYNZ	adkins
PYRARD	pirard
DAYLVN	dillon
HASYK	husik
KRYSTA	krista
LVKAS	lucas
AYMRY	emery
FRAST	frost
DVRAN	doron
ASTYL	still
ADMYSTVN	edmiston
HABVRA	habura
AMNA	amna
MYLT	milt
RABVYL	raboel
HVLRVYD	holroyd
LARJA	larga
HYDAJAT	hidajat
ALYLYVNAS	alelyunas
FAYK	fike
FARAG	farag
DAV	dow
ARAN	eran
RVBY	roby
VYLJV	viljo
KLAGSTVN	clugston
VAYN	vine
PVRKV	porco
ARAM	oram
ASMYRNV	smirnov
