YARVN	yaron
KAMSKAYA	kamskaya
ANVN	anon
LYNKVYS	linkous
GVDSVN	godson
PARSVNZ	parsons
PAYK	pike
GVRYK	gorik
DAVSVN	dawson
SANTYK	santic
DVDA	duda
KYAT	kiat
AVRV	orue
ANGLAND	englund
JVDAS	judas
MVNTANARV	montanaro
GVH	goh
GAYDA	gayda
VYLDYNG	wilding
KRAYG	craig
ASKRYBLYNG	scribbling
PVYSL	poisl
SYMYNGTVN	symington
MKRAYH	macrae
HABA	haba
LYVYVY	levavy
PYRARD	pirard
ALYZA	alisa
NVKS	knox
TRAVN	trown
'YN	ain
TAYSN	tyson
AKS	axe
KAPLAN	kaplan
LYTVYN	litvin
JHANG	jhang
KRAYG	kraig
DAVVD	dawud
LYMN	lymn
LATKYNZ	lutkins
KRAVFVRD	crawford
MARGVLYVKS	margulieux
NAZARYTYAN	nazaretian
ASMYD	smead
KAYK	kauk
ADVVART	eduwart
KLAYSVN	claeson
DANALD	danald
KVHN	cohn
MARTYNZ	martens
TAKSBRY	tuxbury
YVRANYM	uranium
ASKAYT	eskite
BALMA	balma
ASKLTVN	skelton
MVGANTY	moganti
MARKVS	marcus
TRYM	trim
BRY	bri
MYKAYL	mikael
HYVNGAN	hiongun
LAL	lal
PVYV	pouw
NYNSTAR	ninstar
HAYVARD	hayward
LAPVTA	laputa
VAFA	wafa
GAS	gus
PALVMBV	palumbo
HAGAN	hagan
LYMBVRG	limburg
HAVVLA	havola
MYTV	mitu
DAGZ	dogs
LVMAS	lomas
BRY	bri
HYYN	hean
SYTA	sita
GRYT	grit
ARBYD	irbid
JVAY	juay
MADYSVN	madison
AKSV	aksu
AGALY	agali
BRVDA	broda
HAV	haw
AKA	aka
DAHVD	dahuk
SANG	sung
SYSLV	sislo
AYM	aim
FARAG	farag
MAHTV	mahto
MADVRAY	madurai
SANTVS	santos
TANYS	tanis
LVATS	loats
KAZVNVZY	kazunori
MAYR	mayr
HAHTAHA	huhtala
KANSTABARYS	constabaris
KYNGFAY	kingfai
ASKP	skep
DANZ	danz
AYSY	ayse
RYBAR	ribar
ASTALKH	stolcke
KVBV	kubo
JHANG	jhang
VYKTVR	victor
PLASTYNV	plastino
KAM	kam
BALYN	balin
MKKAVN	mccown
BKS	bex
LYYVVH	lieuwe
KAY	kai
FVNDAL	fundal
KAYNY	caine
JALA	jala
BAVDVYYN	baudouin
SLYM	slim
ANDRYA	andrea
BYFRAST	bifrost
FAYYZ	fayiz
FARAT	furat
LVKAS	lucas
PYRVZ	piroz
AYSVN	ayson
LVYYNG	luinge
MASKARY	mascari
BVM	bum
DARHAM	durham
BAGDAN	bogdon
TAFTZ	tufts
MANV	manu
YVMVRA	uemura
KNVFYNKH	knufinke
ATA	ota
SASKA	suska
DART	dart
ASLNGZVALD	slangsvold
LVMBARDV	lombardo
SVA	swa
NVRHA	norha
TANG	tong
ATRY	atri
SVNJA	sonja
ABYNA	ebina
