KVHAN	cohan
RAV	rao
SAYKV	psyko
AVGVRY	aogori
ALSVP	alsop
ASTATZMN	stutzman
BRYTV	brito
YVK	yok
KRAK	kruk
BRANSDVN	brunsdon
DRAGANYS	draganis
LVPATKYN	lupatkin
AYSTMVS	isthmus
HAYM	hime
SYRVS	cyrus
SYN	sin
SYNK	sync
YANVVYTZ	yanowitz
AYBYRVNK	ibironke
KARVLYN	carolyn
MABAY	mawby
ALYSVN	elison
KNVFYNKH	knufinke
DYK	dik
KVANRADVS	coenradus
ANANDA	ananda
AMYH	amie
JVAY	juay
KVYNRYDVS	coenradus
ANRYK	enric
NYTYN	nitin
AQBAL	ikbal
AVRFYVS	orpheus
HAMARKVYYST	hammarquist
LANDGRYN	lundgren
KVANG	kwang
PYLATV	pilato
DANHAM	dunham
SASZY	sasze
LVFARV	lofaro
DYAMVND	diamond
ATARAS	ataras
ASKALY	scally
FYNAN	finan
SYMVNZ	simons
RAMVS	ramos
MYLT	milt
TRAYNTZ	tryntje
HYVM	hume
LVKV	loco
GANG	gung
LAMBDA	lambda
SVNA	suna
ASTYL	steel
JAKVMYNTAY	jacomyntie
HAYNGH	hainge
CAYLDZ	childs
AMADVR	amador
AYRAY	airay
VALTVN	walton
AMANY	amani
MYLKV	milko
FADL	fadl
AVBR	ober
JANARDHAN	janardhan
HASLVM	haslum
ABDVN	ebdon
GANS	gans
DAGAN	dugan
PVTYT	petit
SYDVR	sidor
BYLYNGASLAY	billingsley
DVRVYN	dorwin
AZALYA	azalea
KYRYL	cyril
ASPYDN	speden
AMNVN	amnon
RVSALYN	rosalyn
ALVKAL	alukal
NYN	nin
'QYLA	aqila
JVNYVR	junior
BALGA	balqa
BABVRAV	baburao
NVNYS	nunis
GYNTVN	ginton
AVN	aun
KARTYS	curtis
GVLAND	goland
