KYD	kid
DVNAY	dunae
KVYYT	quitt
HARYHARAN	hariharan
DANGTAY	dongtai
SANJAY	sanjay
GVLAND	goland
SYN	sin
AYLYNG	ayling
DYAMVND	diamond
SVL	sol
DANG	dung
DYSANTV	desanto
KANG	cong
RAGNAR	ragnar
SANTYK	santic
BADYG	budig
AMBAR	embar
BYPYN	bipin
JYVRDANV	giordano
AYSVN	asson
TAYLBRY	tilbury
SVZV	sozo
SAYTJ	sytje
PYL	pil
DAVSVN	dawson
AVALD	ewald
KAPYLA	kapila
NARDY	nardi
DANGYVN	dungeon
SVRAJ	suraj
MAYT	myth
MASKYAS	mascias
DVPALM	depalm
RANA	rana
FAYNLY	finley
BRAYSLAV	berislav
AKYLA	aqila
SANDHV	sandhu
HAPKYNZ	hopkins
LVDVVYKA	ludovica
RVYAL	royal
KARASV	karasu
MARKV	marco
ASKRYV	screve
MKRAYH	macrae
BRYTVN	breton
AVRYVLY	aureole
DANYLV	danilo
DAYBALA	dyballa
SYKVRA	sikora
MAYTAG	maytag
HADSVN	hudson
SAVYR	sauer
NVRDT	nordt
SVAMY	swami
KALPAK	kalpak
SVLVMVN	solomon
AVANZ	evans
GVNZALV	gonzalo
KANBVY	conboy
SANG	sung
DAMVN	damon
TVNG	tung
JAMVNA	jamuna
PVHAN	puhan
AVRAM	avram
DYNA	dina
DANKAN	duncan
AVRBN	orban
JAYARAM	jayaram
VYVA	viva
RAJ	raj
LVSANTVS	losantos
'QYLA	aqila
KVSMAS	cosmas
NAGASAKY	nagasaki
MYTRVVYK	mitrovic
BASYL	basil
JYZAN	jizan
MVD	mod
ARYKSVN	ericson
SVLYTAS	sotilas
JAYAN	jayan
ARDYS	ardis
JVSLYN	joslin
DVRHAM	durham
ANDRYAS	andreas
JAVYD	javed
KATRYNTJH	katryntje
GAJNH	gagne
MAHAJAN	mahajan
RATKS	rutks
TVNG	tung
AVRAYZ	averis
PANAS	panas
MKKARTY	mccarty
AYLVR	aylor
SVA	swa
RABYDYAKS	robideaux
DAYVVN	dauwen
PARSVNZ	parsons
YAYN	iain
ASLAVK	slawek
ABVLYN	abolin
SYPRYANV	sipriano
TVLY	tuli
HAGAN	hagan
KALYSYAK	kalisiak
KVRDAS	kordas
MAY	mai
KASAMA	kasama
DYNT	dint
RAY	rai
DAS	das
KAKY	kaki
TVNY	tony
RVSYALA	rotiala
BAYRTAY	baertie
BALSVN	balson
HAVDVN	hawdon
BYLYNSKY	bilinsky
VAJDYK	vajdic
ASTRYD	astrid
SAKSNA	saxena
AVLY	olli
RAFA	rafa
FRNASYSKAZ	frnaciscus
LYBRYK	librik
GVPALAN	gopalan
SANTV	santo
HAMMANZ	hammans
SASKA	suska
BRANDY	brandi
YAMYNAH	yaminah
FYSK	fisk
DRAVN	drown
BAVDVYYN	baudouin
AKDAG	akdag
HANG	hung
LALYT	lalit
VASYK	wasik
SLYM	slim
BARTVLYNY	bartolini
PVRYNTVN	purinton
FYNSTAD	finstad
LVDVVYKAS	ludovicus
MATA	mata
PYNSVN	pinson
KAMPYVTR	computer
KVMPTVN	compton
AVT	ott
BVSTRAM	bostrom
MARKV	marco
